epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,67.5535,0.92022,0.83965,1.06694,0.90356,0.9466,0.96213,0.71444,0.83873,0.71491,0.97827,0.00058175,0.00058175,0.00058175
56,68.5905,0.98898,0.91075,1.12069,0.92465,0.95742,0.96463,0.70825,0.94344,0.70946,0.99978,0.000569375,0.000569375,0.000569375
57,69.6194,0.96821,0.84121,1.07735,0.93203,0.95526,0.9699,0.67616,1.06436,0.72087,1.03785,0.000557,0.000557,0.000557
58,70.6376,0.95095,0.8585,1.06208,0.93054,0.95778,0.96992,0.66722,1.01664,0.71399,1.02806,0.000544625,0.000544625,0.000544625
59,71.6531,0.91426,0.89314,1.05498,0.93369,0.954,0.96929,0.69782,0.84621,0.68802,0.97191,0.00053225,0.00053225,0.00053225
60,72.6903,0.8999,0.84281,1.04705,0.93206,0.95028,0.97601,0.69994,0.83733,0.67793,0.96281,0.000519875,0.000519875,0.000519875
61,73.7264,1.01717,0.85301,1.11276,0.93203,0.95025,0.97625,0.65748,0.9783,0.69687,0.99596,0.0005075,0.0005075,0.0005075
62,74.7502,0.89788,0.84943,1.04073,0.92027,0.95303,0.97625,0.65057,1.03877,0.70979,1.00919,0.000495125,0.000495125,0.000495125
63,75.7744,0.92548,0.84772,1.05643,0.91976,0.95466,0.97624,0.67197,0.99053,0.70381,0.99346,0.00048275,0.00048275,0.00048275
64,76.7972,0.90458,0.84901,1.06833,0.91005,0.95627,0.97619,0.69593,0.9147,0.69002,0.97066,0.000470375,0.000470375,0.000470375
65,77.823,0.87626,0.78486,1.03841,0.9232,0.93238,0.97691,0.70244,0.82993,0.67324,0.95082,0.000458,0.000458,0.000458
66,78.8442,0.88255,0.84861,1.06164,0.92337,0.93559,0.9782,0.67785,0.8983,0.68219,0.97397,0.000445625,0.000445625,0.000445625
67,79.8734,0.82834,0.81789,1.04594,0.88768,0.98798,0.97935,0.64782,0.96929,0.69183,0.99874,0.00043325,0.00043325,0.00043325
68,80.9181,0.88646,0.82213,1.0422,0.9296,0.93621,0.97515,0.66806,0.92575,0.67706,0.98121,0.000420875,0.000420875,0.000420875
69,81.9405,0.85967,0.8107,1.04849,0.91903,0.95249,0.97542,0.71414,0.82235,0.65962,0.95015,0.0004085,0.0004085,0.0004085
70,82.963,0.86603,0.80726,1.04193,0.93532,0.94559,0.97502,0.74001,0.77348,0.64351,0.93754,0.000396125,0.000396125,0.000396125
71,83.9913,0.91086,0.81997,1.07793,0.94345,0.95468,0.97504,0.73622,0.83448,0.64575,0.95661,0.00038375,0.00038375,0.00038375
72,85.0233,0.93971,0.83626,1.09251,0.94516,0.94906,0.97519,0.69514,0.98288,0.67071,1.00361,0.000371375,0.000371375,0.000371375
73,86.0404,0.86511,0.79631,1.03778,0.94117,0.95989,0.9822,0.66939,1.04532,0.68313,1.02143,0.000359,0.000359,0.000359
74,87.0681,0.84833,0.81547,1.03579,0.94392,0.95803,0.98259,0.67517,0.986,0.67594,0.99968,0.000346625,0.000346625,0.000346625
75,88.0956,0.89375,0.81112,1.04136,0.93267,0.97701,0.9826,0.70923,0.86174,0.65329,0.9596,0.00033425,0.00033425,0.00033425
76,89.1234,0.83885,0.77167,1.03106,0.94288,0.9617,0.97742,0.74419,0.75446,0.62887,0.93061,0.000321875,0.000321875,0.000321875
77,90.1505,0.80242,0.76757,1.0077,0.94262,0.96072,0.97486,0.75888,0.70585,0.6159,0.91916,0.0003095,0.0003095,0.0003095
78,91.2013,0.94089,0.82355,1.0651,0.9382,0.96093,0.97503,0.76132,0.70809,0.61245,0.92004,0.000297125,0.000297125,0.000297125
79,92.2351,0.90975,0.79378,1.05411,0.93658,0.96434,0.97637,0.74249,0.78387,0.621,0.93573,0.00028475,0.00028475,0.00028475
80,93.256,0.86007,0.79017,1.04727,0.93178,0.97993,0.98181,0.72435,0.83209,0.63024,0.94828,0.000272375,0.000272375,0.000272375
81,94.2842,0.79857,0.75163,1.01487,0.93177,0.97946,0.98148,0.72363,0.81078,0.63489,0.94494,0.00026,0.00026,0.00026
82,95.3168,0.82953,0.78571,1.01952,0.94585,0.95105,0.98007,0.72611,0.78665,0.63001,0.93929,0.000247625,0.000247625,0.000247625
83,96.3534,0.83564,0.77233,1.02743,0.9217,0.98263,0.98028,0.73515,0.74771,0.61854,0.93313,0.00023525,0.00023525,0.00023525
84,97.3905,0.79843,0.75695,0.99654,0.93389,0.98398,0.98139,0.75034,0.71359,0.60728,0.9257,0.000222875,0.000222875,0.000222875
85,98.4163,0.82223,0.75342,1.04672,0.93576,0.99038,0.98142,0.75219,0.71891,0.60002,0.92685,0.0002105,0.0002105,0.0002105
86,99.4514,0.80002,0.72662,1.00588,0.93612,0.98964,0.9811,0.75201,0.73228,0.60287,0.9285,0.000198125,0.000198125,0.000198125
87,100.509,0.80662,0.76416,1.03315,0.93524,0.98798,0.98141,0.74003,0.77696,0.60555,0.93682,0.00018575,0.00018575,0.00018575
88,101.54,0.78522,0.74363,1.00533,0.94367,0.98317,0.98075,0.73566,0.80554,0.60911,0.94289,0.000173375,0.000173375,0.000173375
89,102.571,0.80152,0.76043,1.01595,0.94794,0.98317,0.98098,0.73207,0.82919,0.61457,0.94599,0.000161,0.000161,0.000161
90,103.613,0.82786,0.77271,1.02493,0.94831,0.983,0.98126,0.72548,0.86098,0.62078,0.95075,0.000148625,0.000148625,0.000148625
91,121.596,0.81384,0.749,0.98167,0.94759,0.98302,0.98174,0.7259,0.83951,0.61701,0.94521,0.00013625,0.00013625,0.00013625
92,122.672,0.72623,0.70358,0.96998,0.9411,0.98145,0.98231,0.73181,0.79988,0.61665,0.93816,0.000123875,0.000123875,0.000123875
93,123.754,0.74959,0.72613,1.0218,0.94464,0.98228,0.98226,0.72749,0.79059,0.61934,0.93796,0.0001115,0.0001115,0.0001115
94,125.04,0.74333,0.70662,1.00152,0.94358,0.98426,0.98205,0.71841,0.81011,0.62681,0.94563,9.9125e-05,9.9125e-05,9.9125e-05
95,126.073,0.74237,0.70609,0.9771,0.94222,0.98496,0.98202,0.71646,0.79344,0.62777,0.94496,8.675e-05,8.675e-05,8.675e-05
96,127.079,0.73345,0.69796,0.98211,0.94106,0.98558,0.98195,0.72275,0.77199,0.62425,0.94138,7.4375e-05,7.4375e-05,7.4375e-05
97,128.141,0.72487,0.70475,0.99063,0.94015,0.98305,0.98245,0.72984,0.74478,0.62208,0.93568,6.2e-05,6.2e-05,6.2e-05
98,129.151,0.69109,0.67598,0.97333,0.94009,0.98422,0.98227,0.7363,0.73442,0.62001,0.93272,4.9625e-05,4.9625e-05,4.9625e-05
99,130.174,0.70871,0.67157,0.96711,0.9406,0.98454,0.98221,0.7424,0.72381,0.61587,0.92984,3.725e-05,3.725e-05,3.725e-05
100,131.274,0.69876,0.67919,0.95602,0.93868,0.98482,0.98212,0.74023,0.72031,0.61121,0.92951,2.4875e-05,2.4875e-05,2.4875e-05
